out_longitude,out_latitude,out_altitude,out_vel_x,out_vel_y,out_vel_z
-0.37045494,-0.78504735,909.1172,0.0018564916,-0.00050850544,0.0004574522
-0.37045494,-0.78504735,909.1005,0.002359974,-0.0007076961,-0.0011416655
-0.37045494,-0.78504735,909.12,0.0024652362,-0.0006376642,-0.00092923734
-0.37045494,-0.78504735,909.141,0.0022145158,-0.00075463514,-1.724524e-06
-0.37045494,-0.78504735,909.0321,0.004008164,-0.00096382794,-0.00097041216
-0.37045494,-0.78504735,909.1084,0.0018632262,-0.00042895682,0.00024778498
-0.37045494,-0.78504735,909.0904,0.0017000829,-0.00042849523,-0.00024903726
-0.37045494,-0.78504735,909.15643,0.0011336815,-0.0005876808,0.000104537576
-0.37045494,-0.78504735,909.03973,0.0021674791,-0.0006746385,-0.0011408252
-0.37045494,-0.78504735,909.11273,0.0023511183,-0.0006490715,-0.00011155193
-0.37045494,-0.78504735,909.07434,0.002251795,-0.00057704735,-9.510606e-05
-0.37045494,-0.78504735,909.1869,0.002867036,-0.00092111103,-0.0011247154
-0.37045494,-0.78504735,909.13727,0.0024657135,-0.0008668477,-0.00051948236
-0.37045494,-0.78504735,909.18115,0.002924148,-0.0006779171,-0.0005675956
-0.37045494,-0.78504735,909.2016,0.003993316,-0.0012076192,-0.0011708121
-0.37045494,-0.78504735,909.2006,0.0031396043,-0.0010973684,-0.00027903603
-0.37045494,-0.78504735,909.15015,0.002648504,-0.000995881,0.00067056465
-0.37045494,-0.78504735,909.16565,0.003728543,-0.0009585333,-9.849124e-05
-0.37045494,-0.78504735,909.18054,0.0035712593,-0.001128797,-0.000794429
-0.37045494,-0.78504735,909.2515,0.0028995958,-0.0011022965,0.00051874615
-0.37045494,-0.78504735,909.19946,0.003523162,-0.0007757934,-0.0003674118
-0.37045494,-0.78504735,909.23706,0.003183247,-0.00062760443,0.00018701918
-0.37045494,-0.78504735,909.2195,0.0026554507,-0.00090596697,0.00043037048
-0.37045494,-0.78504735,909.22437,0.00241698,-0.0005343915,-0.0006000793
-0.37045494,-0.78504735,909.18396,0.0029436627,-0.0006176532,0.0002537031
-0.37045494,-0.78504735,909.22754,0.002918368,-0.0005735244,-0.00041134752
-0.37045494,-0.78504735,909.17444,0.00305444,-0.00071988057,-0.000819398
-0.37045494,-0.78504735,909.1976,0.003098507,-0.0008216192,2.5561249e-05
-0.37045494,-0.78504735,909.1253,0.0024914856,-0.0005822775,-0.00011400079
-0.37045494,-0.78504735,909.1758,0.002144491,-0.00035303299,0.00019447385
-0.37045494,-0.78504735,909.2098,0.0025947327,-0.0008679813,0.00040546153
-0.37045494,-0.78504735,909.12976,0.0026349816,-0.0005188402,5.3771386e-05
-0.37045494,-0.78504735,909.2224,0.0026708292,-0.00048813806,-0.0006176536
-0.37045494,-0.78504735,909.2587,0.002714896,-0.0008301992,0.00035337487
-0.37045494,-0.78504735,909.275,0.0036400377,-0.0009563612,-0.0009138718
-0.37045494,-0.78504735,909.17505,0.0029870933,-0.00074748736,-0.0005163372
-0.37045494,-0.78504735,909.17126,0.0027810761,-0.00065502117,-5.594799e-05
-0.37045494,-0.78504735,909.2067,0.0029193754,-0.0006080074,-0.00026172583
-0.37045494,-0.78504735,909.28076,0.0042654076,-0.0010341179,-0.0014485196
-0.37045494,-0.78504735,909.2955,0.003513723,-0.0009847147,-0.0002983389
-0.37045494,-0.78504735,909.22046,0.003217875,-0.0006846848,-0.00062771316
-0.37045494,-0.78504735,909.15643,0.0030717275,-0.0004117526,-0.0002926969
-0.37045494,-0.78504735,909.3043,0.003939439,-0.00096367183,5.7804828e-05
-0.37045494,-0.78504735,909.23236,0.0028766342,-0.0008744367,-0.00033888945
-0.37045494,-0.78504735,909.3343,0.0029618782,-0.0007738859,0.00080365635
-0.37045494,-0.78504735,909.18317,0.0028459835,-0.00069171033,-0.0004742501
-0.37045494,-0.78504735,909.22577,0.0027213127,-0.00066616706,0.0005384813
-0.37045494,-0.78504735,909.21,0.0033471063,-0.0008132632,-0.00038426582
-0.37045494,-0.78504735,909.1539,0.0026252244,-0.0007540582,0.0006063296
-0.37045494,-0.78504735,909.1874,0.002323331,-0.00056178455,0.00026222615
-0.37045494,-0.78504735,909.2274,0.0026745943,-0.00038203472,-0.00043434775
-0.37045494,-0.78504735,909.2131,0.0021930921,-0.00065175956,-2.087141e-05
-0.37045494,-0.78504735,909.1536,0.0025837822,-0.00060574024,6.1370105e-05
-0.37045494,-0.78504735,909.1782,0.0036248185,-0.00086427503,-0.0010613328
-0.37045494,-0.78504735,909.0718,0.0024670924,-0.00019097613,-0.0008267446
-0.37045494,-0.78504735,909.21173,0.002576703,-0.0005668925,-0.0008858058
-0.37045494,-0.78504735,909.0752,0.0020284376,-0.00057682337,-0.00035770025
-0.37045494,-0.78504735,909.1131,0.0011323293,-0.0003672267,-0.00012516484
-0.37045494,-0.78504735,909.1715,0.002685253,-0.00063170434,-0.00057046465
-0.37045494,-0.78504735,909.0743,0.0015682532,-0.00044395152,-3.3619966e-05
-0.37045494,-0.78504735,909.07245,0.0018137768,-0.00021513125,-0.0010473838
-0.37045494,-0.78504735,909.0414,0.0021823272,-0.000520897,-0.00070767384
-0.37045494,-0.78504735,909.0848,0.0026046492,-0.00047256637,-0.0006401737
-0.37045494,-0.78504735,909.1119,0.0021964065,-0.00051637273,0.0002943737
-0.37045494,-0.78504735,909.0583,0.0022367348,-0.0004896925,-4.675269e-05
-0.37045494,-0.78504735,909.16266,0.0028407336,-0.00061344466,-0.0005831532
-0.37045494,-0.78504735,909.06836,0.0023396108,-0.0006165943,0.00021730605
-0.37045494,-0.78504735,909.24133,0.0018625103,-0.00085040036,0.0002272456
-0.37045494,-0.78504735,909.17596,0.0026249061,-0.0007134591,-0.0008500569
-0.37045494,-0.78504735,909.2122,0.0017889327,-0.00072236836,0.00083558785
-0.37045494,-0.78504735,909.06854,0.0021447828,-0.00016695679,-0.0001301346
-0.37045494,-0.78504735,909.1695,0.0038785615,-0.0009874435,-0.0008359399
-0.37045494,-0.78504735,909.22424,0.0038952127,-0.0010817561,-0.00034364322
-0.37045494,-0.78504735,909.15924,0.0031192943,-0.0009836626,-0.0001281659
-0.37045494,-0.78504735,909.1636,0.0029813661,-0.0007861722,7.242607e-05
-0.37045494,-0.78504735,909.1549,0.0026158649,-0.0007684284,0.00044476363
-0.37045494,-0.78504735,909.1971,0.0028430934,-0.0007900889,0.00025639206
-0.37045494,-0.78504735,909.1768,0.0032618889,-0.000806767,-0.0006630778
-0.37045494,-0.78504735,909.20575,0.0026366257,-0.00059483194,-0.0002057257
-0.37045494,-0.78504735,909.1594,0.0027726977,-0.0009898804,-0.00063563604
-0.37045494,-0.78504735,909.13464,0.0022356743,-0.00075741485,0.00014181098
-0.37045494,-0.78504735,909.15643,0.0026991996,-0.0008478379,8.1249214e-05
-0.37045494,-0.78504735,909.11053,0.0016263197,-0.00029135717,-0.00015881288
-0.37045494,-0.78504735,909.11005,0.0021153253,-0.00048118373,6.988114e-05
-0.37045494,-0.78504735,909.1512,0.0025965888,-0.00070052117,-0.00096124085
-0.37045494,-0.78504735,909.05023,0.0022117584,-0.0005032889,-0.00044808068
-0.37045494,-0.78504735,909.2315,0.0026725526,-0.00083385117,0.00038805528
-0.37045494,-0.78504735,909.08167,0.002866877,-0.0006960513,0.00031407276
-0.37045494,-0.78504735,909.0747,0.0020327594,-0.00047200636,-0.00075997657
-0.37045494,-0.78504735,909.1076,0.0019457125,-0.00070213334,-0.00028429387
-0.37045494,-0.78504735,909.17505,0.002990222,-0.001157069,-0.000560345
-0.37045494,-0.78504735,909.26746,0.0032647524,-0.00101429,-0.0005219312
-0.37045494,-0.78504735,909.0894,0.0033312507,-0.0006915542,-0.0011415455
-0.37045494,-0.78504735,909.1954,0.0035903498,-0.0011631103,-0.00047427407
-0.37045494,-0.78504735,909.20844,0.002710972,-0.0011699322,0.00014313144
-0.37045494,-0.78504735,909.16656,0.0020196347,-0.0005263206,0.00055800023
-0.37045494,-0.78504735,909.22614,0.0028914292,-0.00067620655,-0.0005999352
-0.37045494,-0.78504735,909.2678,0.0029218679,-0.0008886236,-0.0007066295
-0.37045494,-0.78504735,909.2679,0.0033665414,-0.00084683666,0.00018833965
-0.37045494,-0.78504735,909.1594,0.001994393,-0.00040886772,-0.00016943671
-0.37045494,-0.78504735,909.2656,0.0034849814,-0.0008852975,-0.0001050456
