out_longitude,out_latitude,out_altitude,out_vel_x,out_vel_y,out_vel_z
-0.37030622,-0.78490746,867.01636,5.531405,0.6870079,0.23896834
-0.3703053,-0.7849075,868.7559,5.4076924,2.7059062,0.23385486
-0.3703049,-0.7849067,870.12823,4.2151985,4.9891653,-0.18378647
-0.3703042,-0.7849061,871.0826,3.1684532,5.421562,-0.25866452
-0.37030455,-0.78490615,872.7217,2.2731848,4.028662,0.05285128
-0.37030426,-0.7849054,872.84906,2.4019353,4.5430427,-0.31398463
-0.37030417,-0.7849049,874.0662,2.7542677,4.882146,-0.38177544
-0.37030393,-0.7849041,875.6922,3.0821567,5.598552,-0.5875229
-0.37030336,-0.78490347,876.58307,3.871198,5.9481463,-0.61781466
-0.37030244,-0.78490245,877.35913,3.9373052,6.466541,-0.73148465
-0.37030175,-0.7849019,878.30164,3.8266795,6.2110324,-0.5708114
-0.37030154,-0.7849015,879.0285,3.94616,5.578976,-0.39316002
-0.37030083,-0.7849005,881.0686,3.2520905,5.6164956,-0.43315876
-0.37030038,-0.7849002,880.7641,3.0256863,4.880428,-0.16379799
-0.37030014,-0.78489965,881.5528,3.1298845,4.6217856,-0.14091605
-0.37029982,-0.7848989,882.2501,3.5318208,5.227675,-0.250772
-0.37029922,-0.78489786,883.9703,4.586493,6.212726,-0.51600283
-0.3702986,-0.7848969,886.20605,5.2741184,6.963392,-0.38710693
-0.37029716,-0.7848951,883.5028,4.7973394,7.808907,-0.77829057
-0.37029782,-0.7848952,887.7228,5.6723237,7.172362,-0.51839197
-0.37029657,-0.7848933,887.19824,5.475611,8.405614,-0.9449588
-0.37029555,-0.784892,889.9194,5.284984,8.414666,-0.9456899
-0.37029487,-0.7848912,890.72345,5.3808475,8.035543,-0.8133501
-0.37029406,-0.78488994,893.4042,5.5638437,7.954098,-0.9093383
-0.3702923,-0.78488845,890.94934,4.977826,8.341627,-0.8364689
-0.37029272,-0.78488797,895.29736,5.1890535,7.9658647,-0.8195491
-0.37029245,-0.78488696,895.91425,5.105063,7.8595004,-0.8822243
-0.37029102,-0.78488576,898.9165,5.0763783,7.238332,-0.72723186
-0.3702902,-0.7848848,899.0658,6.1148105,6.5916905,-0.75464267
-0.3702893,-0.7848844,900.97186,7.2951584,4.4837556,-0.6748255
-0.37028787,-0.7848843,900.7384,7.989702,2.196487,-0.49131328
-0.37028667,-0.7848847,903.16254,7.922,0.30789813,-0.10730869
-0.37028456,-0.78488445,900.1087,8.35048,0.51614755,-0.14871757
